Sample_ID,Proverb,Correct_Meaning
ENG1957,Knowledge is power.,"The more knowledge or education you have, the better your chances are of being successful in life, or the more control you will have over your future."
ENG1958,Laughter is the best medicine.,Laughter makes people feel good.
ENG1959,Learn to walk before you run.,Don't rush into doing something before you know how to do it.
ENG1960,Learning is a treasure that will follow its owner everywhere.,Education is something that you keep forever.
ENG1961,"Least said, soonest mended.","The less you talk about an incident, the more easily it will be forgotten."
ENG1962,lender nor borrower be.,Do not lend or borrow money.
ENG1963,leopard cannot change its spots.,It is impossible for a bad or unpleasant person to become good or pleasant.
ENG1964,Let the chips fall where they may.,We should not try to control our destiny.
ENG1965,Liars need good memories.,People who do not tell the truth must be careful to remember what they say.
ENG1966,Liberty is not licence.,Freedom does not mean that people can do whatever they like.
ENG1967,"Like father, like son.",A son's character can be expected to resemble his father's.
ENG1968,little fire is quickly trodden out.,"If you deal with a minor problem quickly, it will not become a major issue."
ENG1969,little of what you fancy does you good.,It's ok to give into a little temptation occasionally.
ENG1970,Little strokes fell good oaks.,"If you divide a task into small parts, it becomes easier to do."
ENG1971,loaded wagon makes no noise.,Really wealthy people do not talk about money.
ENG1972,Look before you leap.,Consider possible consequences before taking action.
ENG1973,Love is blind.,A person in love does not see the faults of the person he/she loves.
ENG1974,loveless life is a living death.,"Without affection, life is difficult."
ENG1975,Man is the head of the family and woman is the neck that turns the head.,Men's actions are guided by their wives.
ENG1976,man can die but once.,"If death comes now, you will not have to experience it later."
ENG1977,man is as old as he feels himself to be.,Your age doesn't matter as long as you are fit and healthy.
ENG1978,"man is judged by his deeds, not by his words.","A person is judged on what he/she actually does, not on what they say they will do."
ENG1979,man is known by the company he keeps.,A person's character is judged by the type of people with whom they spend their time.
ENG1980,Many a true word is spoken in jest.,Even if something is said as a joke it can still be true.
ENG1981,Many hands make light work.,Sharing work makes the task easier.
ENG1982,March comes in like a lion and goes out like a lamb.,The weather at the beginning of March is stormy and at the end is mild.
ENG1983,March winds and April showers bring forth May flowers.,The storms and rain in March and April produce flowers in the month of May.
ENG1984,"Mark, learn and inwardly digest.",Note and reflect upon something in order to thoroughly assimilate it.
ENG1985,Memory is the treasure of the mind.,A good memory is very precious.
ENG1986,"Men make houses, women make homes.",Women give a house its comfort and character.
ENG1987,Might as well be hanged for a sheep as a lamb.,"If the penalty is going to be the same, you might as well commit the greater offence."
ENG1988,Might is right.,Those with the most strength or power think they can do whatever they want.
ENG1989,Misery loves company.,When people are sad they often like others to feel sad too.
ENG1990,Misfortune tells us where fortune is.,It's when you encounter a serious problem that you realize that your previous difficulties were relatively minor.
ENG1991,monkey in silk is a monkey no less.,"No matter how someone dresses, it's the same person underneath."
ENG1992,"more haste, the less speed.",A person makes more progress if they take time to do things carefully.
ENG1993,"more you have, the more you want.",People have a constant desire to possess more.
ENG1994,mouse that has but one hole is quickly taken.,"If you depend on just one thing, and it fails, you have no alternatives."
ENG1995,Necessity is the mother of invention.,The need for something forces people to find a way of obtaining it.
ENG1996,Needs must when the devil drives.,Sometimes you are compelled to do something that you would rather not do.
ENG1997,Never put off till tomorrow what can be done today.,Don't postpone until later something you can do now.
ENG1998,Never trouble troubles until troubles trouble you.,Don't look for problems in advance; deal with them when they arise.
ENG1999,new broom sweeps clean .,A newly-appointed person often makes changes quickly (but experience is also valuable).
ENG2000,nod is as good as a wink .,A hint or a subtle signal is enough to convey meaning to someone who is ready to understand.
ENG2001,Nobody is perfect.,It is understandable not to be perfect or to make occasional mistakes.
ENG2002,No man can serve two masters.,It's impossible to follow instructions from two different sources.
ENG2003,No man is a hero to his valet.,Few people are admired by those who know them intimately and are aware of their failings.
ENG2004,No man is an island.,People are all interdependent and need each other.
ENG2005,No smoke without fire.,There could be some truth in the rumour.
ENG2006,"No wind, no waves.",Similar to 'no smoke without fire'.
ENG2007,Nothing ventured nothing gained.,You cannot expect to achieve anything if you take no risks.
ENG2008,Oil and water do not mix.,Some people or things are incompatible by nature.
ENG2009,old fox is not easily snared.,A person of experience is difficult to fool or manipulate.
ENG2010,One father is more than a hundred schoolmasters.,A teacher cannot replace a father. A child is raised by a father and taught by a teacher.
ENG2011,One of these days is none of these days.,"Until a date is set, 'one of these days' remains a vague promise."
ENG2012,One man's junk is another man's treasure.,What may seem useless or junk to one person may be of great value to another.
ENG2013,One today is worth two tomorrows.,What you have today is better than what is promised or hoped for.
ENG2014,One man's trash is another man's treasure.,What is useless to one person could be valuable to another.
ENG2015,One swallow doesn't make a summer.,A single satisfactory event does not mean that all the others will be as good.
ENG2016,onion a day keeps everyone away.,A humoristic version of 'an apple a day...'
ENG2017,Only real friends will tell you when your face is dirty.,Only a real friend will tell you the truth.
ENG2018,Opportunity seldom knocks twice.,Don't miss opportunities that come along.
